Referencia;Cant. disponible;Notas ítem;Bodega;LINEA DE NEGOCIO;CLASIFICACION;MARCA;
DS-7116HGHI-K1;0.00;DVR 16CH TURBO 1080P 1BAHIA/6TB H.265 25FPS HDMI/VGA PLASTICO HIKVISION;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
RX1K9A;6.00;RECEPTOR MAGELLAN INALAMBRICO DE 433MHZ.;101;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0003 - PARADOX                                 ;
MB10-VL;0.00;"TERMINAL STANDALONE DE TIEMPO Y ASISTENCIA 100 ROSTROS, 500 HUELLAS, 500 TARJETAS ID 125KHZTCP/IP  2.8"" ADMS";101;04 - CONTROL DE ACCESO;0403 - CONTROLADORAS                           ;0009 - ZK TECO                                 ;
DS-2CE72DF0T-F(2.8mm);0.00;CAMARA TURBO 1080P TURRET  F2.8MM 0.001LUX F1.0   24/7 COLOR VU  LUZ BLANCA 40M 3D DNR  DWDR IP67 LUZ BLANCA SEMIMETALICA HIKVISION;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
A35BST;92.00;DETECTOR DUAL HUMO-TÉRMICO CONVENCIONAL STD.EN54/5CLASEA2;101;03 - DETECCION DE INCENDIOS;0304 - DETECTORES                              ;0012 - COFEM                                   ;
DVR-104G-F1;0.00;MINI DVR 4CH TURBO HD1080P LITE  1BAHIA/6TB H.264+ 1CH IP HDMI/VGA HILOOK;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
DVR-104G-F1;0.00;MINI DVR 4CH TURBO HD1080P LITE  1BAHIA/6TB H.264+ 1CH IP HDMI/VGA HILOOK;103;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
WD30PURZ;0.00;DISCO DURO 3TB INTELLIPOWER 3.5 SATA WD;101;02 - CCTV;0210 - STORAGE                                 ;0001 - GENERICO                                ;
REM1;0.00;CONTROL REMOTO MAGELLAN CON BOTONES CON LUZ DE FONDO PARA CENTRALES PARADOX;101;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0003 - PARADOX                                 ;
ACP02-18CH-20-AMP;0.00;FUENTE DE PODER CENTRALIZADA DE 18 CH PARA CCTV, VOLTAJE DE ENTRADA AC90~120V, VOLTAJE DE SALIDA 9 X 12VDC, MAXIMO 20A DE SALIDA.;101;06 - ACCESORIOS;0601 - ACCESORIOS                              ;0001 - GENERICO                                ;
ACP02-18CH-20-AMP;1.00;FUENTE DE PODER CENTRALIZADA DE 18 CH PARA CCTV, VOLTAJE DE ENTRADA AC90~120V, VOLTAJE DE SALIDA 9 X 12VDC, MAXIMO 20A DE SALIDA.;401;06 - ACCESORIOS;0601 - ACCESORIOS                              ;0001 - GENERICO                                ;
NV5W3C;0.00;DETECTOR DE MOVIMIENTO DIGITAL INFRARROJO DE ALTO RENDIMIENTO.;101;01 - DETECCION ROBO;0103 - DETECTORES                              ;0003 - PARADOX                                 ;
C2X18FPLRB;0.00;CABLE DE INCENDIO AWG 2X18 CERTIFICACION UL USO INTERIOR (INDOOR) MARCA BELDEN CARRETE DE 305METROS;101;03 - DETECCION DE INCENDIOS;0501 - CABLEADO                                ;0012 - COFEM                                   ;
DH-IPC-HDBW5241EN-ZE;0.00;CAMARA IP AI TIPO DOMO METALICO 2MP LENTE MOTO. 2,7-13,5MM IP67 IK10 WDR H.265+ IR 50M EPOE;101;02 - CCTV;0203 - CAMARAS IP                              ;0010 - DAHUA                                   ;
DS-7104HGHI-F1;0.00;DVR 4CH TURBO 720P 1BAHIA/6TB H.264+ 25FPS HDMI/VGA PLASTICO HIKVISION;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
DS-K1F820-F;0.00;ESTACION SCANNER HUELLA USB;101;04 - CONTROL DE ACCESO;0401 - ACCESORIOS DE ACCESO                    ;0002 - HIKVISION                               ;
DHI-XVR7208A;2.00;XVR 8CH 5EN1, 30FPS 8CH@1080P, AUD 4IN/1OUT,ALAR 8IN/3 OUT,VIDEO ANALITICA, RS485,2 HDD 8TB;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0010 - DAHUA                                   ;
UTPCAT5E;0.00;UTP CAT5E-ALEACION-305 MTS- ENERLINE-INTERIOR 24AWG - BLANCO-CCA;101;05 - TRANSMISION;0501 - CABLEADO                                ;0001 - GENERICO                                ;
UHF5PRO;0.00;UHF PRO SERIES, DESENCRIPTADA, FRECUENCIA DE 902 A 928MHZ,DISTANCIA DE LECTURA DE 0 - 6 MTS, WIEGAND 26/34 BITS.;101;04 - CONTROL DE ACCESO;0404 - LECTORAS                                ;0009 - ZK TECO                                 ;
MS31;2.00;CONTACTO MAGNETICO PARA PUERTAS DE MADERA. APERTURA MAX 19MM.;101;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0001 - GENERICO                                ;
MS31;0.00;CONTACTO MAGNETICO PARA PUERTAS DE MADERA. APERTURA MAX 19MM.;103;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0001 - GENERICO                                ;
UHF5FPRO;0.00;UHF PRO SERIES, desencriptada, Frecuencia de 902 a 928MHz,distancia de lectura de 0 - 6 mts, Wiegand 26/34 bits;101;06 - ACCESORIOS;0401 - ACCESORIOS DE ACCESO                    ;0009 - ZK TECO                                 ;
WD20PURZ;0.00;"DISCO DURO 2TB 3.5"" SATA WESTER DIGITAL";101;02 - CCTV;0210 - STORAGE                                 ;0001 - GENERICO                                ;
IC-SM;9.00;LLAVERO DE PROXIMIDAD, MIFARE S50, RFID, FRECUENCIA 13,56MHZ;101;04 - CONTROL DE ACCESO;0401 - ACCESORIOS DE ACCESO                    ;0001 - GENERICO                                ;
DHI-ASC1204B-S;0.00;CONTROLADOR DE ACCESO  DE 4 PUERTAS, 9 ENTRADAS, 5 SALIDAS, 4 LECTORAS;101;04 - CONTROL DE ACCESO;0403 - CONTROLADORAS                           ;0010 - DAHUA                                   ;
DS-2CE56C0T-IRMF (2.8mm);3.00;CAMARA TURBO 720P TURRET 0.01LUX F2.8 IR20M IP66 METAL HIKVISION;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DS-2CE16C0T-VFIR3F;0.00;CAMARA TURBO 720P BALA VARIFOCAL EXIR IR40M IP66 METAL HIKVISION;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DS-2CD1143G0-I;2.00;CAMARA IP 4MP DOMO H265+ DWDR D/NF2.8 IR30M IP67 IK10 SEMIMETAL;101;02 - CCTV;0203 - CAMARAS IP                              ;0002 - HIKVISION                               ;
DS-7732NI-K4;0.00;NVR  32CH   8MP 4BAHIA/6TB  H265+ 30FPS HDMI/VGA  256MBPS METAL PRO HIKVISION;101;02 - CCTV;0208 - GRABADORES IP                           ;0002 - HIKVISION                               ;
DS-7732NI-K4;0.00;NVR  32CH   8MP 4BAHIA/6TB  H265+ 30FPS HDMI/VGA  256MBPS METAL PRO HIKVISION;103;02 - CCTV;0208 - GRABADORES IP                           ;0002 - HIKVISION                               ;
DS-2CE70DF0T-PF(2.8mm);9.00;CAMARA TURBO 1080P TURRET  F2.8mm 0.001LUX F1.0   24/7 COLOR VU LUZ BLANCA 20M 3D DNR  DWDR IP67 PLASTICA HIKVISION;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
UTPCAT5E100;0.00;CABLE UTP CAT 5E X 100 MTS - INTERIOR 24AWG - BLANCO - ALEACION CCA;101;05 - TRANSMISION;0501 - CABLEADO                                ;0001 - GENERICO                                ;
DS-K1T8003EF;1.00;TERMINAL CONTROL ACCESO AC CON PANTALLA LCD TFT 2.4 IN TARJETA EM /HUELLA RS-485 WIFI 12VDC;101;04 - CONTROL DE ACCESO;0403 - CONTROLADORAS                           ;0002 - HIKVISION                               ;
SP4000D6Q;0.00;CENTRAL DE ALARMA DE 4 X 2 ZONAS EXPANDIBLE A 32 ZONAS.;101;01 - DETECCION ROBO;0105 - PANELES DE ALARMA                       ;0003 - PARADOX                                 ;
K636;4.00;TECLADO LED CABLEADO DE 10 ZONAS;101;01 - DETECCION ROBO;0105 - PANELES DE ALARMA                       ;0003 - PARADOX                                 ;
IP150;0.00;MODULO INTERNET IP;101;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0003 - PARADOX                                 ;
IP150;0.00;MODULO INTERNET IP;201;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0003 - PARADOX                                 ;
IP150;0.00;MODULO INTERNET IP;103;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0003 - PARADOX                                 ;
DS-K2604;0.00;PANEL CONTROL DE ACCESO 4 PUERTAS WIEGAND TCP/IP PRO;101;04 - CONTROL DE ACCESO;0403 - CONTROLADORAS                           ;0002 - HIKVISION                               ;
DH-HAC-B4A21N-VF;0.00;"BALA METALICA HDCVI/CVBS, 2MP, 1/2,7"" CMOS, LENTE VARIFOCAL 2,7A12MM, 2 SMART IR 30M,";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-B4A21N-VF;0.00;"BALA METALICA HDCVI/CVBS, 2MP, 1/2,7"" CMOS, LENTE VARIFOCAL 2,7A12MM, 2 SMART IR 30M,";201;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-B4A21N-VF;0.00;"BALA METALICA HDCVI/CVBS, 2MP, 1/2,7"" CMOS, LENTE VARIFOCAL 2,7A12MM, 2 SMART IR 30M,";103;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DHI-XVR4116HS-X;0.00;XVR 16CH 5EN1, 30FPS POR 16CH@720P, AUDIO 1 IN/ 1 OUT , 2 USB (2.0), H.265+, SOPORTA 1HDD 10TB_x000D_ PARTIDA ARANCELARIA:8521909000;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0010 - DAHUA                                   ;
DS-2CE70DF0T-MF(2.8mm);0.00;CAMARA TURBO 1080P TURRET  F2.8MM 0.001LUX F1.0   24/7 COLOR VU LUZ BLANCA 20M 3D DNR  DWDR IP67 LUZ BLANCA METALICA HIKVISION;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DH-HAC-HFW1239TLMN-LED-0360B;0.00;CAMARA BALA 4 EN 1, 2MP, LED 40M, FULL COLOR, IP67;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-HFW1239TLMN-LED-0360B;0.00;CAMARA BALA 4 EN 1, 2MP, LED 40M, FULL COLOR, IP67;103;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
THC-T120-P;0.00;CAMARA TURBO 1080P INT TURRET 0.01LUXF2.8 EXIR IR20M PLASTICA HILOOK;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
RTX3;0.00;MODULO DE EXPANSION INALAMBRICA DE 433MHZ;101;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0003 - PARADOX                                 ;
RTX3;0.00;MODULO DE EXPANSION INALAMBRICA DE 433MHZ;103;01 - DETECCION ROBO;0104 - MODULOS Y ACCESORIOS                    ;0003 - PARADOX                                 ;
DH-HAC-HDW1200RN-0280B-S5;2.00;"CAMARA 4 EN 1 1/2,7"" CMOS 1080P TIPO DOMO PLASTICO LENTE 2,8MM FOV 103° DWDR IR 20M";101;02 - CCTV;0203 - CAMARAS IP                              ;0010 - DAHUA                                   ;
DH-XVR5104HS-I3;0.00;XVR 4CH + 2CH IP GRABACION 1CH HASTA 5M-N 3CH HASTA 4M-N 1 HDMI 1 E/S RCA 1 SATA RS485 H265+;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0010 - DAHUA                                   ;
iDS-7208HUHI-M1/S;0.00;DVR 8CH TURBO 8MP 1BAHIA/10TB H.265+  ANALITICAS 30FPS HDMI/VGA METAL;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
iDS-7208HUHI-M1/S;0.00;DVR 8CH TURBO 8MP 1BAHIA/10TB H.265+  ANALITICAS 30FPS HDMI/VGA METAL;103;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
DS-2AE4225TI-D;0.00;CAMARA TURBO 1080P PTZ 25XZOOM 0.005LUX DWDR IR100M IP66 HIKVISION;101;02 - CCTV;0206 - DOMOS PTZ                               ;0002 - HIKVISION                               ;
DS-1LN6U-G;6.00;CABLE UTP 305 M., CAT6 (23 AWG), COLOR GRIS, PVC (CM), USO EN INTERIOR, 100% COBRE;101;05 - TRANSMISION;0501 - CABLEADO                                ;0002 - HIKVISION                               ;
DS-1LN6U-G;0.00;CABLE UTP 305 M., CAT6 (23 AWG), COLOR GRIS, PVC (CM), USO EN INTERIOR, 100% COBRE;103;05 - TRANSMISION;0501 - CABLEADO                                ;0002 - HIKVISION                               ;
DH-IPC-HDBW2121RN-VFS;0.00;DOMO IP  METALICO ANTIVANDALICO 1,3 MP,1/3CMOS VARIFOCAL 2.7MM-12MM IP67,POE,IK10, SD 128GB 0.1LUX;101;02 - CCTV;0203 - CAMARAS IP                              ;0010 - DAHUA                                   ;
DH-IPC-HDBW2121RN-VFS;0.00;DOMO IP  METALICO ANTIVANDALICO 1,3 MP,1/3CMOS VARIFOCAL 2.7MM-12MM IP67,POE,IK10, SD 128GB 0.1LUX;103;02 - CCTV;0203 - CAMARAS IP                              ;0010 - DAHUA                                   ;
DH-PFS3010-8ET-96;0.00;SWITCH POE 8+2 CH, 1 CH HIPOE, POTENCIA DE 96W.;101;05 - TRANSMISION;0504 - TRANSMISION                             ;0010 - DAHUA                                   ;
DHI-XVR5216AN-S2;0.00;XVR 16CH 5EN1, 15FPS POR 16CH@1080P, AUDIO1IN/1OUT ,IVS INTELINGENTE,TRIPWIRE RS485,2HDD 8TB;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0010 - DAHUA                                   ;
THC-B120-PS;0.00;CAMARA TURBO 1080  MINI BALA 0.02 LUX EXIR IR20M IP66  MICROFONO PLASTICA;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DS-2CD2421G0-IW;0.00;"CAMARA INT CUBO 2MP WIFI D/N F2.8MM EXIR 10 MTR POE MICRÓFONO INCORPORADO Y ALTAVOZ; RANURA MICRO SD";101;02 - CCTV;0203 - CAMARAS IP                              ;0002 - HIKVISION                               ;
IPC-C22EN-A-IMOU;0.00;CAMARA IP 2MP@15FPS LENTE 2,8MM FOV 115° WIFI_x000D_ H.264 AUDIO BIDIRECCIO. IR 10M MICROSD HASTA 256GB;101;02 - CCTV;0205 - CONSUMER                                ;0010 - DAHUA                                   ;
IPC-C22EN-A-IMOU;0.00;CAMARA IP 2MP@15FPS LENTE 2,8MM FOV 115° WIFI_x000D_ H.264 AUDIO BIDIRECCIO. IR 10M MICROSD HASTA 256GB;103;02 - CCTV;0205 - CONSUMER                                ;0010 - DAHUA                                   ;
SDCS2/64GB;6.00;PLUSMEMORIA MICRO SD CANVAS SELECT PLUS 64 GB CLASE 10;101;02 - CCTV;0210 - STORAGE                                 ;0001 - GENERICO                                ;
SDCS2/64GB;0.00;PLUSMEMORIA MICRO SD CANVAS SELECT PLUS 64 GB CLASE 10;103;02 - CCTV;0210 - STORAGE                                 ;0001 - GENERICO                                ;
LMB280L;5.00;SOPORTE EN L PARA ELECTROIMAN LM2802;101;04 - CONTROL DE ACCESO;0405 - MECANISMOS DE ACCIONAMIENTO             ;0009 - ZK TECO                                 ;
DH-IPC-HDPW1230R1N-ZS-S4;0.00;CAMARA IP DOMO PLASTICO 2MP@30FPS LENTE MOTOR. 2,8 - 12MM FOV 105° - 33° DWDR IR 40M H.265+ POE IP67;101;02 - CCTV;0203 - CAMARAS IP                              ;0010 - DAHUA                                   ;
DHI-NVR5416-4KS2;0.00;NVR 16CH4K, 12MP, H.265, 320 MBPS, 4HDD8TB;101;02 - CCTV;0208 - GRABADORES IP                           ;0010 - DAHUA                                   ;
TEG1124P-24-250W;0.00;SWITCH POE 24 PUERTOS GIGABIT IEEE 802.3 AF/AT_x000D_SALIDA TOTAL MAX 225W 4 MODOS DE OPERACIÓN;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0017 - TENDA                                   ;
PUCAY;57.00;PULSADOR MANUAL DE ALARMA REARMABLE PARA SISTEMA ALGORITMICO DIRECCIONABLE, CON AISLADOR DE CORTOCIRCUITO EN54-11;101;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0012 - COFEM                                   ;
PUCAY;1.00;PULSADOR MANUAL DE ALARMA REARMABLE PARA SISTEMA ALGORITMICO DIRECCIONABLE, CON AISLADOR DE CORTOCIRCUITO EN54-11;105;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0012 - COFEM                                   ;
THC-T140-P;1.00;CAMARA TURBO 4MP INT MINI TURRET D/NF2.8 EXIR IR20M PLASTICA HILOOK;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
LMB180L;0.00;SOPORTE EN L PARA ELECTROIMAN LM1802;101;04 - CONTROL DE ACCESO;0405 - MECANISMOS DE ACCIONAMIENTO             ;0009 - ZK TECO                                 ;
DVR-208G-F1;0.00;DVR 8CH TURBO 1080P LITE @ 12 FPS/CH 1BAHIA/6TBH.264+ 2CH IP  HDMI/VGA HILOOK;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
PROID30BE-RS;0.00;LECTOR DE TARJETAS EM 125KHZ IP65 COLOR NEGRO RFID 125KHZRS485;101;04 - CONTROL DE ACCESO;0404 - LECTORAS                                ;0009 - ZK TECO                                 ;
C2-260;0.00;CONTROLADORA COMPACTA DE ACCESO DE 2 PUERTAS EXPANDIBLE HASTA 10 CON EXTENDOR DM10, PUERTO DE LECTORES RS485 PROPIETARIO(SOLO CON LECTORES RS485 ZK). LECTURA DE HASTA 0.000 TARJETAS,  200.000REGISTROS.;101;04 - CONTROL DE ACCESO;0403 - CONTROLADORAS                           ;0009 - ZK TECO                                 ;
CLVR12Z;0.00;CENTRAL DE DETECCIÓN DE INCENDIO CONVENCIONAL. 12 ZONAS.  2 SALIDAS SUPERVISADAS DE SIRENA. 1 SALIDA DE ALARMA. EN54/2-4;101;03 - DETECCION DE INCENDIOS;0303 - CENTRALES DE DETECCION Y EXTINCION      ;0012 - COFEM                                   ;
CLVR12Z;0.00;CENTRAL DE DETECCIÓN DE INCENDIO CONVENCIONAL. 12 ZONAS.  2 SALIDAS SUPERVISADAS DE SIRENA. 1 SALIDA DE ALARMA. EN54/2-4;102;03 - DETECCION DE INCENDIOS;0303 - CENTRALES DE DETECCION Y EXTINCION      ;0012 - COFEM                                   ;
FR1500S;0.00;LECTORA HUELLAS SENSOR SILKID Y TARJETAS EM INTERFAZ RS485 CARCASA EN ACERO INOXIDABLE IP65;101;04 - CONTROL DE ACCESO;0404 - LECTORAS                                ;0009 - ZK TECO                                 ;
DH-PFS4206-4P-96;1.00;SWITCH POE 4 CH, ADMINISTRACIÓN DE POE, POTENCIA DE 96W.;101;05 - TRANSMISION;0504 - TRANSMISION                             ;0010 - DAHUA                                   ;
DHI-VTO2111D-P-S2;0.00;"INTERCOM IP NEGRO 1/4"" 1MP CMOS FOV 107° 1 BOTON IP65 12VDC/POE SIP";101;06 - ACCESORIOS;0102 - COMUNICADORES                           ;0010 - DAHUA                                   ;
DS-PS1-R;6.00;SIRENA ESTROBO CABLEADA;101;05 - TRANSMISION;0101 - ALARMA COMUNITARIA                      ;0002 - HIKVISION                               ;
DS-2CE10KF0T-FS;1.00;BALA TURBOHD 3K LENTE 2.8 mm AUDIO LUZ BLANCA 20mIP67 dWDR;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DHI-ARD311-W;0.00;CONTACTO INALÁMBRICO, COMUNICACIÓN BIDIRECCIONAL, ALCANCE DE 700M,  INTERRUPTOR ANTISABOTAJE;101;01 - DETECCION ROBO;0103 - DETECTORES                              ;0010 - DAHUA                                   ;
DH-HAC-T2A41N-0280B;1.00;"CAMARA COOPER 4 EN 1 1/2,7"" CMOS 4MP TIPO DOMO METALICO LENTE 2,8MM FOV 97° DWDR IR 20M IP67";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DS-2CE12DF3T-F(2.8mm);1.00;CAMARA TURBO 1080P BALA F2.8MM 0.0005 LUX F1.0 24/7 COLOR VU 3D DNR WDR 130 DB   IP67 40M LUZ BLANCA METALICA HIKVISION;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DS-2DE2A204IW-DE3;0.00;CAMARA MINI PTZ 2MP DARKF 4XZOOM H265+ 120DB IR20m EXIR POE IP66 IK10;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DS-7232HQHI-K2;1.00;DVR 32CH TURBO 4MP LITE 2BAHIA/10TB SATA H265+ 30FPS HDMI 4K/VGA METAL HIKVISION;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0002 - HIKVISION                               ;
DS-7604NI-Q1/4P;0.00;NVR 4CH POE IP 8MP 1BAHIA/8TB 40MPSH265+ 30FPS HDMI 4K METAL HIKVISION;101;02 - CCTV;0208 - GRABADORES IP                           ;0002 - HIKVISION                               ;
DS-2CE17D0T-IT1F(2,8mm);2.00;CAMARA TURBO 1080P BALA EXIR 0.01LUX F2,8 MM IR30M IP67 SEMIMETAL HIKVISION;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
LMB180U;14.00;SOPORTE EN U PARA ELECTROIMAN LM1802;101;04 - CONTROL DE ACCESO;0405 - MECANISMOS DE ACCIONAMIENTO             ;0009 - ZK TECO                                 ;
UHF1TAG1;0.00;TAG UHF ENCRIPTADA FRECUENCIA 902?928MHZ TIPO_x000D_THIN CARD DIMENSIONES 85 X 54 X 0.8MM Ñ 0.06MM;101;04 - CONTROL DE ACCESO;0401 - ACCESORIOS DE ACCESO                    ;0009 - ZK TECO                                 ;
PTZ-T4215I-D;0.00;CAMARA PTZ TURBO 1080P 15XZOOM 120DB IR100M 12VDC DWDR  IP66 HILOOK;101;02 - CCTV;0206 - DOMOS PTZ                               ;0002 - HIKVISION                               ;
A30XTA;0.00;DETECTOR  TÉRMICO DIRECCIONABLE, CON FUNCIÓN TERMOVELOCIMÉTRICA EN54-5CLASA2R.;101;03 - DETECCION DE INCENDIOS;0304 - DETECTORES                              ;0012 - COFEM                                   ;
MB560ID-VL;0.00;DISPOSITIVO T&A Y CONTROL DE ACCESO VISIBLE LIGHT 3000 ROSTROS 3000 HUELLAS 10K TARJETAS ADMS WIFI;101;04 - CONTROL DE ACCESO;0404 - LECTORAS                                ;0009 - ZK TECO                                 ;
MB460/IDADMS;0.00;TERMINAL STANDALONE DE TIEMPO Y ASISTENCIA 1500 ROSTROS, 2.000 HUELLAS, 2000 TARJETAS ID 125KHZ TCP/IP. ADMS;101;04 - CONTROL DE ACCESO;0403 - CONTROLADORAS                           ;0009 - ZK TECO                                 ;
DS-KD-KK;0.00;UNIDAD DE ETIQUETA CON NOMBRE, 6 BOTONES DE LLAMADAS  RS 485 IP 65;101;02 - CCTV;0402 - CITOFONIA                               ;0002 - HIKVISION                               ;
DS-KD-ACF2/PLASTIC;0.00;ACCESORIO MARCO PARA 2 MODULO PARA MONTAJE EMPOTRADO PLASTICO;101;02 - CCTV;0402 - CITOFONIA                               ;0002 - HIKVISION                               ;
IPC-B121H;0.00;CAMARA IP 2MP BALA H265+ DWDR D/NF2.8 POE IR30M IP67 SEMIMETAL HILOOK;101;02 - CCTV;0203 - CAMARAS IP                              ;0002 - HIKVISION                               ;
SIR24F;70.00;SIRENA PARA INTERIORES CON FLASH 24V. 85 DBM.N/A;101;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0012 - COFEM                                   ;
SIR24F;0.00;SIRENA PARA INTERIORES CON FLASH 24V. 85 DBM.N/A;103;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0012 - COFEM                                   ;
SIR24F;3.00;SIRENA PARA INTERIORES CON FLASH 24V. 85 DBM.N/A;105;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0012 - COFEM                                   ;
RL207;7.00;DIODO PARA SIRENA;101;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0001 - GENERICO                                ;
DS-KIS605-P;0.00;KIT IP VIDEOPORTERO INCLUYE ESTACION;101;04 - CONTROL DE ACCESO;0402 - CITOFONIA                               ;0002 - HIKVISION                               ;
THC-T129-M(2.8mm);0.00;CAMARA TURBO 1080P COLOR VU EXT TURRET F1.0 3D DNR WDR RANGO DE LUZ BLANCA 20M IP66 METALICA HILOOK;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DS-2CE72KF0T-FS8;0.00;TURRET TURBOHD 3K AUDIO ÑENTE 3.6 MM 40 MTS LUZ BLANCA IP67 DWDR 4 TECNOLOGIAS;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
DH-HAC-T2A21N-0360B;4.00;"DOMO METALICO HDCVI/CVBS, 1080P, 1/2.7"" CMOS, 3.6MM, IR LEDS 20M";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
THC-B140-P;0.00;CAMARA TURBO 4MP INT MINI BALA D/NF2.8 EXIR IR20m PLASTICA;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
THC-B140-P;0.00;CAMARA TURBO 4MP INT MINI BALA D/NF2.8 EXIR IR20m PLASTICA;103;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0002 - HIKVISION                               ;
CLYON02B;1.00;CENTRAL COMPACT LYON DIRECCIONABLE DE 2 BUCLES. 99 PUNTOS/BUCLE, HASTA 64 RELES, SALIDA SIRENA PROGRAMABLE. 4095 EVENTOS .EN54-2/4;101;03 - DETECCION DE INCENDIOS;0303 - CENTRALES DE DETECCION Y EXTINCION      ;0012 - COFEM                                   ;
CLYON02B;0.00;CENTRAL COMPACT LYON DIRECCIONABLE DE 2 BUCLES. 99 PUNTOS/BUCLE, HASTA 64 RELES, SALIDA SIRENA PROGRAMABLE. 4095 EVENTOS .EN54-2/4;103;03 - DETECCION DE INCENDIOS;0303 - CENTRALES DE DETECCION Y EXTINCION      ;0012 - COFEM                                   ;
CLYON02B;0.00;CENTRAL COMPACT LYON DIRECCIONABLE DE 2 BUCLES. 99 PUNTOS/BUCLE, HASTA 64 RELES, SALIDA SIRENA PROGRAMABLE. 4095 EVENTOS .EN54-2/4;105;03 - DETECCION DE INCENDIOS;0303 - CENTRALES DE DETECCION Y EXTINCION      ;0012 - COFEM                                   ;
MDCRM;3.00;MODULO DE CONEXION REMOTE;101;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0012 - COFEM                                   ;
SIRAYL;23.00;SIRENA DIGITAL MICROPROCESADA Y DIRECCIONABLE (CON AISLADOR DE CORTOCIRCUITO) . LUZ ESTROBOSCOPICA. 105 DBM EN54-23;101;03 - DETECCION DE INCENDIOS;0305 - MODULOS Y ACCESORIOS                    ;0012 - COFEM                                   ;
